ModelName,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
codellama_7b,1.07,7.04,5.1,0.139,0.11
gemma2_9b,0.9,8.3,4.69,0.165,0.12
llama2_70b,1.26,7.71,5.3,0.151,0.12
llama2_7b,0.81,6.86,3.99,0.129,0.09
llama3.2_3b,0.71,7.55,4.48,0.147,0.11
