ModelName,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
codellama_7b,1.82,7.61,5.82,0.15,0.13
gemma2_9b,1.81,9.15,5.74,0.18,0.14
llama2_70b,2.66,8.44,6.78,0.166,0.15
llama2_7b,1.26,7.52,4.69,0.143,0.1
llama3.2_3b,1.46,8.2,5.35,0.157,0.12
