ModelName,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
codellama_7b,1.3,6.21,5.33,0.127,0.12
gemma2_9b,1.01,7.27,4.69,0.149,0.12
llama2_70b,1.23,6.78,5.09,0.137,0.11
llama2_7b,0.66,5.82,3.62,0.116,0.08
llama3.2_3b,0.69,6.5,4.2,0.133,0.1
