Foldername,BERTScore Precision,BERTScore Recall,BERTScore F1
generated_msg/py/gemma2_9b/0.0,0.83,0.76,0.8
generated_msg/py/gemma2_9b/0.0,0.85,0.84,0.85
generated_msg/py/gemma2_9b/0.0,0.85,0.89,0.87
generated_msg/py/gemma2_9b/0.0,0.9,0.91,0.91
generated_msg/py/gemma2_9b/0.0,0.91,0.8,0.85
generated_msg/py/gemma2_9b/0.0,0.84,0.83,0.84
generated_msg/py/gemma2_9b/0.0,0.88,0.8,0.84
generated_msg/py/gemma2_9b/0.0,0.85,0.76,0.8
generated_msg/py/gemma2_9b/0.0,0.83,0.81,0.82
generated_msg/py/gemma2_9b/0.0,0.86,0.9,0.88
generated_msg/py/gemma2_9b/0.0,0.83,0.88,0.86
generated_msg/py/gemma2_9b/0.0,0.88,0.86,0.87
generated_msg/py/gemma2_9b/0.0,0.91,0.93,0.92
generated_msg/py/gemma2_9b/0.0,0.93,0.91,0.92
generated_msg/py/gemma2_9b/0.0,0.89,0.8,0.84
generated_msg/py/gemma2_9b/0.0,0.87,0.81,0.84
generated_msg/py/gemma2_9b/0.0,0.82,0.81,0.81
generated_msg/py/gemma2_9b/0.0,0.85,0.83,0.84
generated_msg/py/gemma2_9b/0.0,0.82,0.73,0.77
generated_msg/py/gemma2_9b/0.0,0.85,0.82,0.84
generated_msg/py/gemma2_9b/0.0,0.87,0.84,0.86
generated_msg/py/gemma2_9b/0.0,0.86,0.88,0.87
generated_msg/py/gemma2_9b/0.0,0.91,0.9,0.9
generated_msg/py/gemma2_9b/0.0,0.89,0.82,0.85
generated_msg/py/gemma2_9b/0.0,0.83,0.83,0.83
generated_msg/py/gemma2_9b/0.0,0.87,0.86,0.86
generated_msg/py/gemma2_9b/0.0,0.86,0.85,0.86
generated_msg/py/gemma2_9b/0.0,0.79,0.84,0.82
generated_msg/py/gemma2_9b/0.0,0.86,0.82,0.84
generated_msg/py/gemma2_9b/0.0,0.83,0.84,0.84
generated_msg/py/gemma2_9b/0.0,0.84,0.91,0.87
generated_msg/py/gemma2_9b/0.0,0.93,0.97,0.95
generated_msg/py/gemma2_9b/0.0,0.88,0.86,0.87
